ID;Y3;X1;X2;Y1;X3;Y2
1;221058541;4184548095;4213176749;717402532;6233536293;632286730
2;30387226;282299954;1883318610;384212337;2130539013;301737112
3;6212616;453132984;1049211110;223888259;1652229057;91133590
4;4165605;159119363;471953272;95269236;628699329;53994054
5;4061082;266921911;541292663;138049761;641151066;42808100
6;4695466;82240981;213848494;54052292;262291583;36208419
7;2693879;197078700;348040842;112976433;395124251;29424439
8;4551402;102656087;424810499;82362674;484631606;28283056
9;4644362;25261211;163910173;31589748;183133748;26855526
10;6225750;74148463;191632992;35755186;249211165;24829951
11;11652042;164315998;286594702;84782436;375092776;24672476
12;6918626;86309801;122772040;26221285;177892053;22275714
13;6494121;342130411;444805011;54819904;511155120;22078214
14;7539536;191437126;364633747;122864251;453980497;21796993
15;1909155;104998028;30874604;30590354;146080837;21318722
16;9242228;146270673;280922026;74791539;373074756;20992973
17;4992538;51656668;165465920;48506282;171073657;20659707
18;282346;11759868;30765960;4192215;59149588;18429909
19;4844852;84726689;144314832;32176786;181629216;17739386
20;4964831;24970262;141560144;14555504;156140995;16444614
21;3029174;74715522;90161917;20001453;114786341;14672613
22;160867;30231972;83626109;35394506;109428929;14234524
23;2769745;69661989;118752805;32470718;153702272;13535106
24;1592305;78031280;147893624;63929398;175992464;13365575
25;467410;36344767;85217585;22049354;98421194;12303509
26;4871118;8328065;71577377;12610247;94844791;10365384
27;864714;9152816;98071322;4119993;115956234;10250343
28;3677215;29419235;50639290;6740587;71005360;9148745
29;2503524;12663598;30862731;3869786;39865655;8820131
30;209976;22794708;136508327;15667569;157364325;8789333
31;5364794;45185829;35301821;15381308;55937366;7913986
32;3243556;38376195;26632001;9754188;42038426;7865651
33;1793544;22915812;37815818;26061656;29298151;7385275
34;256761;4267160;986568;7661199;5819018;6903652
35;2180410;30211836;53009168;11427290;67885348;6880566
36;692796;4017820;46376344;5663748;61143488;6817061
37;804644;27350206;70854557;7263552;96994574;6581064
38;108598;3653338;74336745;5393087;80217712;6116039
39;693374;51343397;50599972;31554028;71656472;6040621
40;1226080;32680388;23853386;17506400;39500601;5936050
41;3177094;48081806;157437926;16132777;203437242;5842748
42;4667233;26583174;40599017;10441261;48431496;5714571
43;10963917;95405062;690117803;94653619;733262998;5351603
44;4130077;46576029;77603046;15645811;104724710;5148410
